textname,urlname,description,textcontact,textphone,textindustry,numstartdate
Authente,http://www.authente.no,Mobile authentication / security,,,,2010
24SevenOffice ,24sevenoffice.com,is a leading CRM & ERP software company in Norway (via @EspenAntonsen).,,,ICT,1997
3D Studio Oslo,https://www.facebook.com/3dstudiooslo,"3D Studio will offer services around the computer animation for game development, film and television as well as educational use.",Roar Moe,,,
AARG,arrg.no,Mobile Augmented Reality for print,,,,
Abalonyx,abalonyx.no,Advanced materials,,,Technology,2005
aCorp Renewable Energy,acorp.no,,,,Energy,2010
Affitech AS ,affitech.com,,,,Biotech,1996
AIMS Innovation AS ,www.aimsinnovation.com,Data traffic analysis,,,ICT ,2010
Album2		,album2.no,Photo sharing with backup and facial recognition,,,ICT ,2004
Alfatroll,alfatroll.com,develops software solutions for unmanned airborn vehicles and avionics. The core is a patented knowledge based system built as a generic reasoning engine.,,,ICT,2006
Ansur,Ansur.no,"research, design and supply innovative solutions for satellite and mobile wireless communications. ",,,,2000
Augmented Reality Laboratory Norway AS,ar-lab.no,focuses on developing and selling Augmented Reality technology .,,,ICT,
AS siRNAsense	,sirnasense.com,The company focuses on the first critical steps in development of RNAi therapeutics within the fields of cancer and neuroscience.,,,Biotech,2004
ASA Serodus	 ,serodus.no,"drug development company, focusing on new therapeutic products for the treatment of cardiovascular diseases with large unmet clinical needs.",,,Health ,
Aspiro TV,aspiro.com/tv/,multi-screen video platform ,,,ICT,
Astrofarm AS,astrofarm.com,Professional hosting services ,,,ICT,1998
Atbrox,atbrox.com, develops search technology and provides cloud computing services with Hadoop/Mapreduce and Amazon Web Services.,,,ICT,
Baldur,baldur.no,Ultra thin-film services,,,Technology,
Balzam,balzam.no,Social network for book lovers.,,,ICT,
Baresko.no ,Baresko.no ,is “Zappos.com of Norway”.,,,ICT,
Beat,beat.no,paid music streaming service.,,,ICT,
Beepscience,www.beepscience.com,develops OMA DRM client software and integrates OMA DRM capabilities with consumer devices.,,,ICT,
BerGenBio AS,,"Proprietary Screening technology used for the research and pre-clinical development of novel drug targets, associated biomarkers and therapeutics for the treatment of cancer.",,,,
Biip,Biip.no,Social network for youths. Acquired by Egmont Serieforlaget in 2008.,,,ICT,
BIOL,biol.no,Advancing use of biofuels,,,Distributor,
Bipper,bipper.no,"Cellphone surveilance / ""child security"" for phones",,,ICT,
Bitmonster,http://bergento.no/bitmonster-product/,Interactive Exhibit in Binary Communication for Science Centres. T,,,,
BitReactive,bitreactive.com,"help other companies and developers to build complex applications that cross the borders of mobile, embedded and cloud-based computing. Examples for such applications are logistics applications based on RFID and NFC technology, sensor networks or smart metering.",Magnus Galåen,,ICT,
Blink Studios ,blinkstudios.no,is an independent developer of interactive games and apps founded by former Funcom developers.,,,ICT,
bMenu ,bmenu.com,a developer of Internet navigation technology for desktop and mobile platforms. Also behind website to mobile site converter bMobilized.com.,,,ICT,
BrightArch ,brightarch.com,"is the software company behind OrganizationWeaver, a service used in large corporations during restructures/staffing changes and change management.",,,ICT,
Bright Products,http://www.bright-products.no/,,,,Technology,
CacheCast,http://www.inven2.com/no/tech-transfer/prosjekter/cachecast,,,,ICT,
Cashfree Vending AS,cashfreevending.no,solutions for cashless goods purchasing from vending machines.,,,ICT,
Catch the eye,catchtheeye.no,Digital campaigns. seems to have transformed to daily deal site.,,,ICT,
Ceetron,ceetron.com,"offers advanced 3D visualization products and solutions to customers within energy, marine, aerospace and automotive industries. The product portfolio comprises software developer tools and desktop applications.",,,ICT,1995
CFengine,http://www.cfengine.com," A company providing automated IT operations, may not be a newly launched company per se, but it is definitely worth paying attention to working a client list that includes companies such as eBay, Facebook, PayPal, and Nokia.",Mark Burgess,,ICT,
Cgene,cgene.com,medical ,,,,
Chai,chai.it,social networking platform for content creators and consumers with focus on managing interactions and engaging in meaningful conversations.,,,ICT,
Changetech AS		,,Online self help courses,,,ICT ,
Classmate,Classmate.no,aims to take social networking into education (via @knutwien).,,,ICT,
CognIT,cognit.no,"Develops software and solutions for organizing information in a company. Best practice, navigator, Knowledge database and, discrepancy and feedback system is included in what they term a Information Access Concept",,,ICT,
Colibria,colibria.com,instant messaging and presence. bought by metaswitch,,,ICT,
ComCom,comcom.no,"Mobile ""home screen"" ads",,,ICT,
Comlight,comlight.no,intelligent sensor controlled road lights that will reduce the energy usage without reducing road safety.,,,Technology,
Commercial Micro Portals,CommercialMicroPortals.com,Domain parking / monitization,,,ICT,
Comoyo,comoyo.com,"delivers the solutions that entertains you, lets you communicate with your friends and store the content you care about (via @ingridod)",,,ICT,
CompanyBook,companybook.no,provides a social platform to interact with current business partners and clients (via @atveit).,,,ICT,
Comperio,comperio.no,Search and analysis software,,,,
CondAlign+,condalign.no, develop next generation advanced materials and process technology based on its proprietary electric field control technology. The CondAlign process can be  used to reduce costs and enhance functionality in materials that exist in a wide range of products.,,,Material,2010
Conta Faktura,http://www.contafaktura.no,Online invoice service,,,ICT,
Conterra Technology AS,,Conterra Technology is working to commercialize patented technology for producing bio-fertilizer from sevage and other organic waste.,,,Energy,
Coron & Larsen,diodaled.com,"Application of new technology within energy, health and life sciences, Dioda Led",Hans Troye,hans.troye@hatro.no,Technology,
Creaza,creaza.com, is developing tools for social video editing recently opened offices in Silicon Valley.,,,ICT,
CroBoCom,crobocom.com,"creates payment and administration solutions for vending machines. Their focus is on non-cash related solutions like rfid, contact cards and access cards.",,,ICT,
CSC AS	 ,csc.no,konsulenttjenester og utvikler databasesystemer til private og offentlige bedrifter,,,ICT ,
CUPP,cuppcomputing.com ,the CUPP computing platform integrates low power subsystems into the PC chipset to enable security and mobility to the PC platform.,,,ICT,
cXense,cxense.com," A contextual advertising, search and analytics software from the founders of FAST Search and Transfer (acquired by Microsoft) and the former Norwegian search engine Sesam.no.",,,ICT,
Cyberbook AS	,kunnskap.no,learning tools based on cd and internett. ,,,ICT ,1996
CyberWatcher,cyberwatcher.com,news monitoring services,,,ICT,1999
Data Design System AS	,dds.no,DDS lager innovative og intelligente DAK- systemer spesielt tilrettelagt for byggeindustrien.,,,ICT ,
Digimaker,digimaker.com,"Digimaker is an ASP.Net based content management system for creating, managing and maintaining professional websites",,,ICT,
Diatec Monoclonals AS ,diatec.no,"Produces monoclonal antibodies for in-vitro research. Applications include immunophenotyping, flowcytometry, HIV research and diagnostic, and cancer research.",,,Biotech,
Didac,didac.no,develops a e-learning platform and tailor made courses for companies. ,,,ICT,2000
Dimidii,Dimidii.no,Daily deals for tickets to local events,,,ICT,
Dokus,dokus.no,time tracking and invoicing from Funkbit,,,ICT,
Doubletwist,doubletwist.com,"located in San Francisco, provides a free application that empowers consumers to easily transfer, share and sync personal media regardless of device, file format or social network.",,,ICT,
Drug Discovery Laboratory AS	,ddl.no,"drug discovery and development, including synthesis and characterisation, chemical analysis, drug formulation and larger scale production.",,,Biotech,1995
dSafe,dSafe.no,lager it-løsninger for butikk og handel (via @spitinc).,,,ICT,
Easybits Software,easybits.com,"develop family oriented products designed to simplify and enhance the computer experience. Their operations include operation of the Skype Games Channel, development of the Magic Desktop operating system for children and the education desktop Inspirus.",,,ICT,2003
EasyBring,easybring.com, Easybring connects people who needs to send something from one place to another with people going that way anyway.,,,ICT,
EasyPeasy,geteasypeasy.com,"a Linux-based and Internet-enabled OS for laptops counting more than 1,5M downloads and users in 166 countries.",,,ICT,
EEG Holberg,holbergeeg.com,software for EEG reporting based on description standard SCORE.,,,,2009
EGFRvIIIA,http://bergento.no/egfrviii/,a tool to early detect cancer.,,,Biotech,
Elecape	 ,elecape.com,Technology for product packaging focusing on pharmaceutical and cosmetics industry,,@Elecape,Technology,
Elis,elis.no,CRM and measuring systems for the energy sector,,,ICT,1992
ellipticLabs,www.ellipticlabs.com,Computer user interface technology,,,Technology,
Ellycrack AS	,ellycrack.no,Ellycrack is a “dry” process for upgrading of heavy oil at the oil field,,Olav Ellingsen,Technology,2001
Encap,Encap.no,Mobile security,,,ICT,
Ensafer,ensafer.com,encrypted file storage in the cloud for safer sharing of files.,,,ICT,
Enviro AS	 ,enviro.no,solutions and consulting in electronic document tools for commercial and technical applications.,,,ICT ,1993
Energy Micro,energymicro.com,"provider of energy friendly microcontrollers and RF transceivers based on the ARM® Cortex™ processor core. Consuming a quarter of the energy of competing products, the company’s ultra low power EFM32 Gecko MCUs and EFR4 Draco radios target energy sensitive applications, including smart metering, building automation, security systems and portable heath and fitness equipment. The products are supported by Energy Micro’s Simplicity Studio, an easy-to-use software console helping to reduce embedded system development times by a half.",,,,2007
Epla,Epla.no,a handmade marketplace somewhat similar to Etsy. Acquired by Aller Media in 2011.,,,ICT,
Easyquest AS,Easyquest.no,,,,,
Eventgeekz,http://incent.no/eventgeekz/,Event organizing app from Incent,,,ICT,
Exerto,exerto.no,Streaming of instructional videos for working out. ,,,ICT,
Expono,expono.com,photo sharing,Magnus Jonsson,,ICT,
ez Systems,ez.no,"also known for open source CMS eZ Publish, provides web content management solutions to an impressive list of customers worldwide (via @toranders).",,,ICT,1999
FactLines,http://www.factlines.com/,Logistics management(?),,,ICT,
Fairchance,www.fairchance.com,Charity lottery based around grocery bags,,,,
Fakturo,Fakturo.no,a simple invoice management web application (via @EspenAntonsen),,,ICT,
Fanbooster,fanbooster.com,Tools to run campaigns on Facebook,,,ICT,
Labrat Customs	,labratcustoms.com,development of instruments and robots for high throughput chemistry.,,,Biotech,
Gatada Games,gatada.no,,,,ICT,
Geir Corporation,www.geir-corporation.com,"development and production of a super oxygenated water technology platform designed to enhance a wide variety of consumer products and commercial applications. GEIR Corporation is committed to creating technologies and products that will substantially improve the health, happiness and quality of life of people worldwide.",,,Biotech,1997
Gitorious,gitorious.org,infrastructure for open source projects that use Git.,,,ICT,2007
BuyAndRead AS,buyandread.com,online newstand where you can purchase access to new and old (archive) newspapers. ,,,ICT,
Ground Control Labs,moot.com,developing the mobile and laptop social software Moot for various platforms. Decunct,,,ICT,
Hammertech AS,hammertech.no,Measuring technology for - Level meters in separation tanks - Waterfraction meters- Multi phase flowmeters,,,Technology,
Hydrat technology,bergento.no/hydrate-technology,Patent pending approach to production of natural gas hydrates,,,Technology,
I use this,iusethis.com,"A registry to track, keep up to date and discover tools to use in your work.",,,ICT,
idiotic photos,idioticphotos.com,Picture curation,,,ICT,
iFacturas,ifacturas.no,Mobile invoicing application,,,ICT,
IndCon AS	 ,indcon.no,Delivering ROV control systems and IndCon Dataviewer.,,,ICT ,
Induct Software,induct.no,integrates Enterprise 2.0 technology and social networking concepts with a customizable innovation management framework based on open innovation and Henry Chesbrough’s theories.,,,ICT,
Integrasco,Integrasco.com,provides social media monitoring and analytics for global brands.,,,ICT,
Intermedium AS,intermedium.no,Media surveillance and analytics solution,,,ICT,
iSentio,iSentio.com,DNA sequencing analysis software,,,ICT,2005
iSky ,isky.no,produkter og tjenester i forbindelse med sikker og fleksibel IT drift,,,ICT ,2011
ItsLearning,itslearning.no,"development, hosting and support of the itslearning education platform and educational software.",,,ICT,1999
